EntryNo,tzname,IsDuplicate,OriginalTzNameIfDuplicate,FileSize,MD5Hash,CRC32Hash,SHA512Hash,FinalFileOffset,FinalFileLength
381,Canada/Saskatchewan,True,America/Regina,980,cec6491b350dfbdb74732df745eb37d3,dac26bd2,1a905307084e6757f7523cf36f856a515c764af2fb6983fee6a956af954c9cd2720907776057b78817fb7c92d29d77119e284a49a078abe111f1a32684c76b81,00030E86,980
382,Canada/Yukon,True,America/Whitehorse,1614,c12d9db0a8dc4f432cdbf2ecfaff43fb,752639db,cb4739da860b2132dd1a3a2efda937000b9487a940b1976c22aa6bc7d612475dcbb03f8261aecd82e15888a276984d6c37ad9417968d60570333faedf430bdc1,00036130,1614
383,CET,False,,2933,355f0d3e2a3ee15ea78526f5eeb0cf7d,dcaad861,96a5fa48a15167e55ffad5b0241c90caeb7f0433ad62dd43463a4c52c25c59f7357681cb586fc52e812e8173adc12cec9eff66d27d5f41e19d55f6c1fce12937,000527AA,2933
384,Chile/Continental,True,America/Santiago,2515,a73829d7d469d81da69972a7876949a4,efad312c,20d9b31f89f6f12197c7221d6d32eaa610c852a5e187a4f9e17d3d6cbdb6b8ec0a2b523804de604c00cad83d336918a9e3c5949c6e459fe74cab67baad02e958,00031CB8,2515
385,Chile/EasterIsland,False,,2219,ffabb899877f8ffb2dad36e8364f2691,64378135,37e43ffd2b39e58f3d6548fd1ac517ffe3d7d23a47313759f90b6508bcbea66b7b2f48dd8066a8d33ad11e9f2473d778eaedeeb694db0800e4740accb6e04087,0005331F,2219
386,CST6CDT,True,America/Chicago,3592,6fa8d772c5ff1c47ca4b0ad477f72d48,fba98d9a,bdcbead37e994d1e93d4083b54fd36c1d0e763db4b3d7271b5e6901efa63efb4a2709f1021e007e6f3c2f2908f1ce420e1f272440f187b676cfcf8763d0baef0,00013856,3592
387,Cuba,True,America/Havana,2416,0f73e648aacfef75f13d8cf1b5cf12c5,ea786b41,79b766ba118d4f88b3f27bb253c0573595c7386237b17e5a9f8ccfd0591f2f3d20b35adcae93d240f1da2cdf823cdf841ac0c30dcb11ca63b5a7f882d6e2301d,0001DCB3,2416
388,EET,False,,2262,140cc26d867773460b13e90c5c721e65,a8936752,6523692e14d0e83386ef27933efccb854852ddca064518e8841a407d07e5e3e9a40af92bbaab9f036336749b41b4ce3ba0196c879924c73134a2f1a9a30be767,00053BCA,2262
389,Egypt,True,Africa/Cairo,2399,929588a8bc1a9b6cf9b9222e28bb7aef,446386f1,7ad8b1e98fc73bbd2e1aafa9f5c89da4bcae7899920e597dd72be88c5d37e044083eec4d0099eda6771286d4a6099727542cdad48a1e228ea816952f6fb6796f,0000804E,2399
390,Eire,False,,3492,4fdb09e3889842e7fdfe310973ca5a60,8f1fe292,10502e4301fc4898b5a7a84ca649a08ebfc744c3fb560dcf9fe0fc4546995992a4cab6e0d3af30f99ab85ae4f12cac6212fb6575957e862eebf217a497ed4feb,000544A0,3492
391,EST,True,America/Atikokan,182,0972a9c4c28bf71eeab5f0bac573cdbc,6e156098,ece548f7d840a588523aacddc93891e0dd300390f79de063e60074e00a92ae33a8201642b841ff868387f1ac2188c485cce941d83c7a3617d27ac286dbcc0c17,000104FC,182
392,EST5EDT,True,America/New_York,3552,1ef5d280a7e0c1d820d05205b042cce0,bd8efaf3,b9a2ab77c28519ef3e3e47f53b099bc1eeee3624bc6f44066f6340cd339741d115fd9200ca2e2ddc5dba203e960b3042327c4280a489d46f9ff045d147299e13,0002AA05,3552
393,Etc/GMT,False,,114,9cd2aef183c064f630dfcf6018551374,ab5e34a6,dafa0cb9d0a8e0ff75a19be499751ad85372aafa856ff06dd68ecf2b1c5578bb98a040becaecf0aed2c3e4ff7372ff200fe7614334756d19fe79dd61c01d4e92,00055244,114
394,Etc/GMT-0,True,Etc/GMT,114,9cd2aef183c064f630dfcf6018551374,ab5e34a6,dafa0cb9d0a8e0ff75a19be499751ad85372aafa856ff06dd68ecf2b1c5578bb98a040becaecf0aed2c3e4ff7372ff200fe7614334756d19fe79dd61c01d4e92,00055244,114
