EntryNo,tzname,IsDuplicate,OriginalTzNameIfDuplicate,FileSize,MD5Hash,CRC32Hash,SHA512Hash,FinalFileOffset,FinalFileLength
62,America/Argentina/ComodRivadavia,True,America/Argentina/Catamarca,708,e3467a68822f3d1365e3494970219b03,f6d9c852,4ae79f4a57134ebae1776c259af4236fb75827e4feadf952eafcd33a15f1cae49a68855eb67b1a129dfb2cfe44ade4bba274051c972434517e179fd36e4b6534,0000AE5F,708
63,America/Argentina/Cordoba,False,,708,5c57dc3d11f5a64fac22a08ea0c64d25,8a52f0ef,18f23ddb3dca6fa3efe9cbea294bdfc6ad9db3bea98fc1766e0f317754d8a452e12edd692b1505810ec7842d0f8dbdcf1f50a4027dbc2621cde865311ff5b259,0000B123,708
64,America/Argentina/Jujuy,False,,690,239a70724a0ff39d5dd3e6b7f4a34212,1a5a7475,b42195b41c7a450207bdd48476618a732b01d2761dd9a97ae8401d9b166ac8e138ab62c6a72cbea09aec1528e096d9e6cda7f67405edecd79e8f796629451e44,0000B3E7,690
65,America/Argentina/La_Rioja,False,,717,0e84cda11c5dc9030c43c51187a6c78d,0e44076d,e55edc436f6b952d6bfa6ab19c30a22a7654e0fc4714093c064f6800be239358e75379f69b3f72f7a5ac2cb70f544f190edbf50f446769ae2c3041277debd3d4,0000B699,717
66,America/Argentina/Mendoza,False,,708,839eacc63921f196e4ecfded7245a67b,8c5a92c5,77fd0f07cce5093c453f33d89e3c74822205b09a185cdc03dce30429eec348d1d18b89eda7c625f35db22983a911bee091fee38bc044147263ad0d55289e8a43,0000B966,708
67,America/Argentina/Rio_Gallegos,False,,708,e0e8162a9ade838f582c23557e530019,63b4708e,2a5b20d20125851c2063c1c3a3bccfea50ece1b2b65dc21b8492a49ee9588ee8d2180e3abcc00caba348e5224a913990d403a1519cb75168ec0141ae1bf53cf5,0000BC2A,708
68,America/Argentina/Salta,False,,690,0249d27eff0294ba6c5d090d9895fd17,219b2a74,c2ee308dbb24d4a2b2331ca67fc01d29114b71f75e174122d2bf59551a299ba5624658a643152f7fe02140c568202326f9b29cacba96badb227610ecb94efef2,0000BEEE,690
69,America/Argentina/San_Juan,False,,717,4a5ba954919a3b34fb7779965387992f,e13d7afc,4638f5018ade5cd2e44e8461cfec1e1a6aee948f47171eb90288a38a67c245334b004ced10a03a261e54962354a3b30d854c48a778f9dd255ecbfa4d3ab181f1,0000C1A0,717
70,America/Argentina/San_Luis,False,,717,6413085a3a485b5683da3f49944995f0,5cb9801c,20ef6b29e0473cc6016a34c2fd4a7502861dffe06afe8380e7295cc5b7eb47489da79f067c1c480a86f812dea9bc07c40d46c4c1fa69b9463ac39e4fe80c2202,0000C46D,717
71,America/Argentina/Tucuman,False,,726,70483b70b5e389865d462a090b99f2ed,add6d859,8e7814c5ac35a214cd8459d63d413157766c56c6de7d9855e3f2f23dc5766e6b8b48da1e9c0c997f1b557bf45d6bf386eec51b2dfe25bf180ccfac5b5b81c6e1,0000C73A,726
